
 GRAPH 
 
 JointSets: 
JointSetID:  0, |centerDistance: 1 |, conLinks:0, 4, 5, 17, 18, 20, 21, 3,  x: 0 y: -1, 
LinkID: 157, pJointSet:102, nJointSet:53, boundPair:163, chainType:0, linkType:1, embeded:1
LinkID: 158, pJointSet:53, nJointSet:54, boundPair:43, chainType:0, linkType:2, embeded:1
LinkID: 159, pJointSet:54, nJointSet:199, boundPair:-1, chainType:0, linkType:3, embeded:0
LinkID: 160, pJointSet:200, nJointSet:201, boundPair:-1, chainType:0, linkType:0, embeded:0
LinkID: 161, pJointSet:201, nJointSet:78, boundPair:-1, chainType:0, linkType:1, embeded:0
LinkID: 162, pJointSet:78, nJointSet:53, boundPair:63, chainType:0, linkType:2, embeded:1
LinkID: 163, pJointSet:53, nJointSet:102, boundPair:157, chainType:0, linkType:3, embeded:1

____ OTHER SOLUTION

x:-2 y:0, JointSet:41, Links: up:(81,36) right:(33,39) down:(32,77) left:(78,80)
x:-1 y:-1, JointSet:5, Links: up:(7,34) right:(4,18) down:(19,50) left:(49,35)
x:-1 y:0, JointSet:8, Links: up:(38,15) right:(6,12) down:(7,34) left:(33,39)
x:-1 y:1, JointSet:47, Links: up:(86,43) right:(14,40) down:(38,15) left:(37,87)
x:0 y:-2, JointSet:21, Links: up:(17,20) right:(57,23) down:(53,56) left:(16,54)
x:0 y:-1, JointSet:0, Links: up:(0,5) right:(21,3) down:(17,20) left:(4,18)
x:0 y:0, JointSet:1, Links: up:(13,8) right:(1,11) down:(0,5) left:(6,12)
x:0 y:1, JointSet:17, Links: up:(41,44) right:(9,47) down:(13,8) left:(14,40)
x:0 y:2, JointSet:52, Links: up:(89,92) right:(45,95) down:(41,44) left:(42,88)
x:1 y:-1, JointSet:27, Links: up:(2,27) right:(62,24) down:(22,63) left:(21,3)
x:1 y:0, JointSet:2, Links: up:(10,31) right:(26,28) down:(2,27) left:(1,11)
x:1 y:1, JointSet:12, Links: up:(46,67) right:(30,64) down:(10,31) left:(9,47)
x:2 y:0, JointSet:32, Links: up:(29,72) right:(69,75) down:(25,68) left:(26,28)

LINKS:
id:0, ChainType:0, LinkType0
id:1, ChainType:0, LinkType1
id:2, ChainType:0, LinkType2
id:3, ChainType:0, LinkType3
id:4, ChainType:1, LinkType0
id:5, ChainType:1, LinkType1
id:6, ChainType:1, LinkType2
id:7, ChainType:1, LinkType3
id:8, ChainType:0, LinkType0
id:9, ChainType:0, LinkType1
id:10, ChainType:0, LinkType2
id:11, ChainType:0, LinkType3
id:12, ChainType:1, LinkType0
id:13, ChainType:1, LinkType1
id:14, ChainType:1, LinkType2
id:15, ChainType:1, LinkType3
id:16, ChainType:1, LinkType0
id:17, ChainType:1, LinkType1
id:18, ChainType:1, LinkType2
id:19, ChainType:1, LinkType3
id:20, ChainType:0, LinkType0
id:21, ChainType:0, LinkType1
id:22, ChainType:0, LinkType2
id:23, ChainType:0, LinkType3
